"","unit","playerCount","task","complexity","default_duration","stageId","data.playerIds","score","duration","efficiency"
"2139","3","3","Divergent Association","Medium",3,"EwS9qXrHvcGkLGhvR","ZQspLsG8eNun3fnCx,et9rTPMnmdveRo9Fn,uQJDBpaJbyrfx8PpA",91.2446669889764,3.03295,30.084461329391
"2140","3","3","Divergent Association","Low",3,"3Ni2unufJS3ekpsWq","ZQspLsG8eNun3fnCx,et9rTPMnmdveRo9Fn,uQJDBpaJbyrfx8PpA",93.2941175400075,3.01951666666667,30.8970367906588
"2141","3","3","Divergent Association","High",3,"a2SQoF5YpHMyeK7Y9","ZQspLsG8eNun3fnCx,et9rTPMnmdveRo9Fn,uQJDBpaJbyrfx8PpA",95.8984581753964,3.02193333333333,31.7341408950329
"2142","3","3","Sudoku","Low",5,"3y8kf85kuHkumcGBa","ZQspLsG8eNun3fnCx,et9rTPMnmdveRo9Fn,uQJDBpaJbyrfx8PpA",100,1.55,64.5161290322581
"2143","3","3","Sudoku","High",5,"KfgzJsdYRTPsAeyde","ZQspLsG8eNun3fnCx,et9rTPMnmdveRo9Fn,uQJDBpaJbyrfx8PpA",71,5.01321666666667,14.1625636234886
"2144","3","3","Sudoku","Medium",5,"Bpe8vzgKQ2DTfnz2D","ZQspLsG8eNun3fnCx,et9rTPMnmdveRo9Fn,uQJDBpaJbyrfx8PpA",75,5.02161666666667,14.9354291612595
"2145","3","3","Guess the Correlation","Medium",2,"Jjo6JTm5iSPgAfwRo","ZQspLsG8eNun3fnCx,et9rTPMnmdveRo9Fn,uQJDBpaJbyrfx8PpA",87,1.21666666666667,71.5068493150685
"2146","3","3","Guess the Correlation","High",2,"vjcknCNJRkWwueYvb","ZQspLsG8eNun3fnCx,et9rTPMnmdveRo9Fn,uQJDBpaJbyrfx8PpA",88,1.21666666666667,72.3287671232877
"2147","3","3","Guess the Correlation","Low",2,"4Sgkm5s2vRgoBZmwd","ZQspLsG8eNun3fnCx,et9rTPMnmdveRo9Fn,uQJDBpaJbyrfx8PpA",82,0.983333333333333,83.3898305084746
"2148","3","3","Allocating Resources","Medium",3,"FG4mWgF7DRNeFhAQd","ZQspLsG8eNun3fnCx,et9rTPMnmdveRo9Fn,uQJDBpaJbyrfx8PpA",80,3.031,26.3939293962389
"2149","3","3","Allocating Resources","Low",3,"creEyF2BXcQGaxrur","ZQspLsG8eNun3fnCx,et9rTPMnmdveRo9Fn,uQJDBpaJbyrfx8PpA",0,3.0286,0
"2150","3","3","Allocating Resources","High",3,"9RQixxgWgoC6aSf8o","ZQspLsG8eNun3fnCx,et9rTPMnmdveRo9Fn,uQJDBpaJbyrfx8PpA",0,3.03546666666667,0
"2151","3","3","Word Construction","Medium",3,"QWZeZkEHPP8RGnDhh","ZQspLsG8eNun3fnCx,et9rTPMnmdveRo9Fn,uQJDBpaJbyrfx8PpA",55.3571428571429,3.0139,18.3672792253037
"2152","3","3","Word Construction","Low",3,"T4SDyYHTL3rrW4DKx","ZQspLsG8eNun3fnCx,et9rTPMnmdveRo9Fn,uQJDBpaJbyrfx8PpA",37.037037037037,3.02211666666667,12.255329996207
"2153","3","3","Word Construction","High",3,"9AfsZa9t83f8vHkLR","ZQspLsG8eNun3fnCx,et9rTPMnmdveRo9Fn,uQJDBpaJbyrfx8PpA",47.0588235294118,3.01028333333333,15.6326891254129
